"Belarussian State Agrarian Technical University,Belarus,http://www.batu.edu.by/"
"Belarussian National Technical University,Belarus,http://www.bntu.by/"
"Belarussian State Medical University,Belarus,http://www.bsmu.by/"
"Academy of the Ministry of Internal Affairs of the Republic of Belarus,Belarus,http://academy.mia.by/"
"Belarussian State Academy of Music,Belarus,http://www.bgam.edu.by/"
"Belarussian State Agricultural Academy,Belarus,http://www.baa.by/"
"Brest State Technical University,Belarus,http://www.bstu.by/"
"Belarussian State University,Belarus,http://www.bsu.by/"
"Brest State University,Belarus,http://www.brsu.brest.by/"
"Belarussian State Polytechnical Academy,Belarus,http://www.bspa.unibel.by/"
"Belarussian State University of Informatics and Radioelectronics,Belarus,http://www.bsuir.by/"
"Institute for Command Engineers of The Ministry for Emergency Situations,Belarus,http://www.kii.gov.by/"
"Belarussian State University of Transport,Belarus,http://www.belsut.gomel.by/"
"Belarussian State Pedagogical University M. Tanka,Belarus,http://www.bspu.unibel.by/"
"Belarussian State Technological University,Belarus,http://www.bstu.unibel.by/"
"Belarussian State University of Culture and Arts,Belarus,http://www.buk.by/"
"International Sakharov Environmental University,Belarus,http://www.iseu.by/"
"Gomel State Medical University,Belarus,http://www.meduniver.gomel.by/"
"Grodno State Medical University,Belarus,http://www.grsmu.by/"
"Belarusian-Russian University,Belarus,http://www.bru.mogilev.by/"
"Gomel State Technical University Pavel Sukhoi,Belarus,http://www.gstu.gomel.by/"
"Mogilev State University A.A. Kuleshov,Belarus,http://msu.mogilev.by/"
"Grodno State University Yanka Kupaly,Belarus,http://www.grsu.by/"
"Minsk Institute of Management,Belarus,http://www.miu.by/"
"Belarussian State Economic University,Belarus,http://www.bseu.by/"
"European Humanities University,Belarus,http://www.data.minsk.by/ehu/"
"Minsk State Linguistic University,Belarus,http://www.mslu.by/"
"Gomel State University Francisk Scarnia,Belarus,http://www.gsu.unibel.by/"
"Polotsk State University,Belarus,http://www.psu.by/"
"Academy of Public Administration of Belarus,Belarus,http://www.pac.by/"
"Mozyr State Pedagogical Institute,Belarus,http://www.mgpu.gomel.by/"
"Vitebsk State Medical University,Belarus,http://www.vgmu.vitebsk.by/"
"Grodno State Agrarian University,Belarus,http://www.uni-agro.grodno.by/"
"Belarussian State Academy of Music,Belarus,http://www.bgam.edu.by/"
"Belarussian State Agrarian Technical University,Belarus,http://www.batu.edu.by/"
"Belarussian State University of Transport,Belarus,http://www.belsut.gomel.by/"
"Vitebsk State Academy of Veterinary Medicine,Belarus,http://www.vsavm.com/"
"Academy of the Ministry of Internal Affairs of the Republic of Belarus,Belarus,http://academy.mia.by/"
"Grodno State University Yanka Kupaly,Belarus,http://www.grsu.by/"
"Belarussian National Technical University,Belarus,http://www.bntu.by/"
"Belarussian State Economic University,Belarus,http://www.bseu.by/"
"Gomel State Technical University Pavel Sukhoi,Belarus,http://www.gstu.gomel.by/"
"Belarussian State University of Informatics and Radioelectronics,Belarus,http://www.bsuir.by/"
"Vitebsk State Technological University,Belarus,http://www.vstu.vitebsk.by/"
"Gomel State University Francisk Scarnia,Belarus,http://www.gsu.unibel.by/"
"Belarussian State University of Culture and Arts,Belarus,http://www.buk.by/"
"Brest State Technical University,Belarus,http://www.bstu.by/"
"Belarussian State Medical University,Belarus,http://www.bsmu.by/"
"European Humanities University,Belarus,http://www.data.minsk.by/ehu/"
"Belarussian State Agricultural Academy,Belarus,http://www.baa.by/"
"Brest State University,Belarus,http://www.brsu.brest.by/"
"International Sakharov Environmental University,Belarus,http://www.iseu.by/"
"Grodno State Agrarian University,Belarus,http://www.uni-agro.grodno.by/"
"Grodno State Medical University,Belarus,http://www.grsmu.by/"
"Belarussian State Polytechnical Academy,Belarus,http://www.bspa.unibel.by/"
"Belarusian-Russian University,Belarus,http://www.bru.mogilev.by/"
"Belarussian State Technological University,Belarus,http://www.bstu.unibel.by/"
"Vitebsk State Medical University,Belarus,http://www.vgmu.vitebsk.by/"
"Institute for Command Engineers of The Ministry for Emergency Situations,Belarus,http://www.kii.gov.by/"
"Vitebsk State University,Belarus,http://www.vsu.by/"
"Vitebsk State Academy of Veterinary Medicine,Belarus,http://www.vsavm.com/"
"Belarussian State Pedagogical University M. Tanka,Belarus,http://www.bspu.unibel.by/"
"Vitebsk State Technological University,Belarus,http://www.vstu.vitebsk.by/"
"Academy of Public Administration of Belarus,Belarus,http://www.pac.by/"
"Gomel State Medical University,Belarus,http://www.meduniver.gomel.by/"
"Polotsk State University,Belarus,http://www.psu.by/"
"Mogilev State University A.A. Kuleshov,Belarus,http://msu.mogilev.by/"
"Belarussian State University,Belarus,http://www.bsu.by/"
"Minsk Institute of Management,Belarus,http://www.miu.by/"
"Vitebsk State University,Belarus,http://www.vsu.by/"
"Mozyr State Pedagogical Institute,Belarus,http://www.mgpu.gomel.by/"
"Minsk State Linguistic University,Belarus,http://www.mslu.by/"
"Cégep de Saint-Jérôme,Canada,https://www.cstj.qc.ca,https://ccmt.cstj.qc.ca,https://ccml.cstj.qc.ca"
"Lambton College,Canada,https://www.lambtoncollege.ca"
"Collège Boréal,Canada,http://www.borealc.on.ca/"
"British Columbia Institute of Technology,Canada,http://www.bcit.ca/"
"Bow Valley College,Canada,http://www.bowvalleycollege.ca/"
"Algonquin College,Canada,http://www.algonquincollege.com/"
"Acadia University,Canada,http://www.acadiau.ca/"
"British Columbia Open University,Canada,http://www.bcou.ca/"
"William and Catherine Booth College,Canada,http://www.boothcollege.ca/"
"Camosun College,Canada,http://www.camosun.bc.ca/"
"Brock University,Canada,http://www.brocku.ca/"
"Ashton College,Canada,http://www.ashtoncollege.com/"
"Canadian College of Business & Computers,Canada,http://www.ccbc.ca/"
"Brandon University,Canada,http://www.brandonu.ca/"
"Assumption University,Canada,http://www.assumptionu.ca/"
"DeVry Institute of Technology,Canada,http://www.cal.devry.ca/"
"Columbia College,Canada,http://www.columbiacollege.ca/"
"Athabasca University,Canada,http://www.athabascau.ca/"
"Centennial College,Canada,http://www.centennialcollege.ca/"
"Capilano College,Canada,http://www.capcollege.bc.ca/"
"Canadian Mennonite University,Canada,http://www.cmu.ca/"
"Augustana University College,Canada,http://www.augustana.ab.ca/"
"George Brown College,Canada,http://www.gbrownc.on.ca/"
"College of New Caledonia,Canada,http://www.cnc.bc.ca/"
"Emily Carr Institute of Art + Design,Canada,http://www.eciad.bc.ca/"
"École des Hautes Études Commerciales,Canada,http://www.hec.ca/"
"Concordia University College of Alberta,Canada,http://www.concordia.ab.ca/"
"King's University College,Canada,http://www.kingsu.ab.ca/"
"École de technologie supérieure, Université du Québec,Canada,http://www.etsmtl.ca/"
"Huron University College,Canada,http://www.huronuc.on.ca/"
"Institut National de la Recherche Scientifique, Université du Québec,Canada,http://www.inrs.uquebec.ca/"
"University College of the Cariboo,Canada,http://www.cariboo.bc.ca/"
"Humber College,Canada,http://www.humber.ca/"
"École nationale d'administration publique, Université du Québec,Canada,http://www.enap.uquebec.ca/"
"Concordia University,Canada,http://www.concordia.ca/"
"First Nations University of Canada,Canada,http://www.firstnationsuniversity.ca/"
"Institut Armand-Frappier, Université du Québec,Canada,http://www.iaf.inrs.ca/"
"Kwantleen University College,Canada,http://www.kwantlen.bc.ca/"
"Douglas College,Canada,http://www.douglas.bc.ca/"
"Conestoga College,Canada,http://www.conestogac.on.ca/"
"Carleton University,Canada,http://www.carleton.ca/"
"Kingston College,Canada,http://www.kingston.edu/"
"University of Moncton, Shippagan,Canada,http://www.cus.ca/"
"Lakehead University,Canada,http://www.lakeheadu.ca/"
"College of the Rockies,Canada,http://www.cotr.bc.ca/"
"Durham College,Canada,https://durhamcollege.ca/"
"Mount Saint Vincent University,Canada,http://www.msvu.ca/"
"North Island College,Canada,http://www.nic.bc.ca/"
"Langara College,Canada,http://www.langara.bc.ca/,https://langara.ca/"
"Laurentian University of Sudbury,Canada,http://www.laurentian.ca/"
"Nipissing University,Canada,http://www.nipissingu.ca/"
"McGill University,Canada,http://www.mcgill.ca/"
"Mount Allison University,Canada,http://www.mta.ca/"
"University of Moncton, Edmundston,Canada,http://www.cuslm.ca/"
"Northern Lights College,Canada,http://www.nlc.bc.ca/"
"Mount Royal University,Canada,http://www.mtroyal.ca/"
"Malaspina University College,Canada,http://www.mala.bc.ca/"
"McMaster University,Canada,http://www.mcmaster.ca/"
"MacEwan University,Canada,http://www.macewan.ca/"
"Northern Alberta Institute of Technology,Canada,http://www.nait.ca/"
"Quest University,Canada,http://www.questu.ca/"
"Royal Roads University,Canada,http://www.royalroads.ca/"
"Southern Alberta Institute of Technology,Canada,http://www.sait.ca/"
"Regent College,Canada,http://www.regent-college.edu/"
"Ryerson Polytechnic University,Canada,http://www.ryerson.ca/"
